article_name,article_quality,country,revision_id,population
Template:Venezuela-politician-stub,Stub,Venezuela,496528097,31.8
Template:Venezuela-mayor-stub,Stub,Venezuela,496900283,31.8
Abdullah II of Kanem,Stub,Chad,498683267,15.4
Heard-Hawes family,C,United States,502721672,328
Template:TranscaucasiaPMs,Stub,Russia,503442332,147.3
Template:Australia-politician-stub,Stub,Australia,508253799,24.1
List of politicians in Poland,Start,Poland,516633096,38.4
Template:Philippines-congressman-stub,Stub,Philippines,519257222,107
List of German politicians,Stub,Germany,521986779,82.8
Template:China-politician-stub,Stub,China,527463943,"1,393.8"
Template:Switzerland-diplomat-stub,Stub,Switzerland,529588432,8.5
Template:Estonia-diplomat-stub,Stub,Estonia,530047771,1.3
Template:Lebanon-politician-stub,Stub,Lebanon,530284522,6.1
Template:Armenia-mayor-stub,Stub,Armenia,530322698,3
Template:Armenia-politician-stub,Stub,Armenia,530323140,3
Template:Armenia-diplomat-stub,Stub,Armenia,530323678,3
Template:Taiwan-mayor-stub,Stub,Taiwan,530544520,23.6
"Template:Heads of Government, Sierra Leone",Stub,Sierra Leone,530554988,7.7
Template:Cuba-politician-stub,Stub,Cuba,530739845,11.1
Template:Cuba-mayor-stub,Stub,Cuba,530740001,11.1
Template:Cuba-activist-stub,Stub,Cuba,530742252,11.1
Template:Cuba-diplomat-stub,Stub,Cuba,530744043,11.1
Template:Lithuania-politician-stub,Stub,Lithuania,531458172,2.8
Template:Lithuania-mayor-stub,Stub,Lithuania,531459628,2.8
Raspicious Dzanjalimodzi,Stub,Malawi,532253442,19.1
Template:Vietnam-mayor-stub,Stub,Vietnam,535403481,94.7
Template:Vietnam-diplomat-stub,Stub,Vietnam,535403528,94.7
Template:France-activist-stub,Stub,France,535414539,65.1
Template:Norway-activist-stub,Stub,Norway,535414570,5.3
Template:Poland-activist-stub,Stub,Poland,535414592,38.4
Template:Sweden-activist-stub,Stub,Sweden,535414613,10.2
Template:Ireland-activist-stub,Stub,Ireland,535414628,4.9
Template:Iceland-activist-stub,Stub,Iceland,535414676,0.4
Template:Australia-activist-stub,Stub,Australia,535415787,24.1
Template:Spain-activist-stub,Stub,Spain,535444722,46.7
Template:Israel-activist-stub,Stub,Israel,535446024,8.5
Template:Yemen-activist-stub,Stub,Yemen,535446071,28.9
Template:SriLanka-activist-stub,Stub,Sri Lanka,535446127,21.7
Template:Japan-activist-stub,Stub,Japan,535446167,126.5
Template:Iraq-activist-stub,Stub,Iraq,535446194,40.2
Template:Iran-activist-stub,Stub,Iran,535446209,81.6
Template:Bangladesh-activist-stub,Stub,Bangladesh,535446218,166.4
Template:China-activist-stub,Stub,China,535446243,"1,393.8"
Template:NewZealand-activist-stub,Stub,New Zealand,535498320,4.9
Template:Nepal-diplomat-stub,Stub,Nepal,539244575,29.7
Template:India-diplomat-stub,Stub,India,539244631,"1,371.3"
Template:Jamaica-diplomat-stub,Stub,Jamaica,539551401,2.9
Template:Jamaica-mayor-stub,Stub,Jamaica,539551660,2.9
Template:Jamaica-politician-stub,Stub,Jamaica,539551701,2.9
Template:Portugal-diplomat-stub,Stub,Portugal,540004474,10.3
Template:Turkey-diplomat-stub,Stub,Turkey,540004518,81.3
Template:Turkey-activist-stub,Stub,Turkey,540100985,81.3
"Template:1992 candidates, Angola",Stub,Angola,540117421,30.4
Template:Philippines-activist-stub,Stub,Philippines,540379020,107
Template:Afghanistan-diplomat-stub,Stub,Afghanistan,540459929,36.5
Template:Pakistan-activist-stub,Stub,Pakistan,540465312,200.6
Template:Pakistan-diplomat-stub,Stub,Pakistan,540468218,200.6
"Template:2005 presidential election candidates, Kyrgyzstan",Stub,Kyrgyzstan,540963885,6.1
Template:SanMarino-politician-stub,Stub,San Marino,540974764,0.03
Template:BosniaHerzegovina-mayor-stub,Stub,Bosnia-Herzegovina,540988222,3.5
Template:Serbia-diplomat-stub,Stub,Serbia,540992721,7
Template:Slovenia-diplomat-stub,Stub,Slovenia,540993236,2.1
Template:Slovakia-diplomat-stub,Stub,Slovakia,540993715,5.4
Template:BosniaHerzegovina-diplomat-stub,Stub,Bosnia-Herzegovina,540993917,3.5
Template:Bulgaria-diplomat-stub,Stub,Bulgaria,540994040,7
Template:Denmark-diplomat-stub,Stub,Denmark,540994071,5.8
Template:Romania-diplomat-stub,Stub,Romania,540994162,19.5
Template:Italy-diplomat-stub,Stub,Italy,540996332,60.6
Template:Iceland-diplomat-stub,Stub,Iceland,540996389,0.4
Template:Belgium-diplomat-stub,Stub,Belgium,540996510,11.4
Template:Poland-diplomat-stub,Stub,Poland,540996703,38.4
Template:Sweden-diplomat-stub,Stub,Sweden,540996796,10.2
Template:Hungary-diplomat-stub,Stub,Hungary,540997088,9.8
Template:Albania-diplomat-stub,Stub,Albania,540997313,2.9
Template:Austria-diplomat-stub,Stub,Austria,540997908,8.8
Template:Lithuania-diplomat-stub,Stub,Lithuania,541003996,2.8
Template:Greece-diplomat-stub,Stub,Greece,541004175,10.6
Template:Bangladesh-diplomat-stub,Stub,Bangladesh,541009166,166.4
Template:Australia-diplomat-stub,Stub,Australia,541017284,24.1
Template:Philippines-diplomat-stub,Stub,Philippines,541019756,107
Template:Heads of government of Turkmenistan,Stub,Turkmenistan,541142538,5.9
Manuel Antonio Blas Sáenz,Stub,Nicaragua,543225630,6.3
Template:Austria-politician-stub,Stub,Austria,544279941,8.8
Template:Algeria-politician-stub,Stub,Algeria,544347736,42.7
Template:Pakistan-mayor-stub,Stub,Pakistan,544666451,200.6
Template:Mexico-diplomat-stub,Stub,Mexico,545449302,130.8
Béla Vörösmarty,Stub,Hungary,545936100,9.8
Template:Japan-politician-stub,Stub,Japan,546498071,126.5
Template:Malaysia-activist-stub,Stub,Malaysia,546935871,32.5
Template:SouthAfrica-diplomat-stub,Stub,South Africa,547269505,57.7
Template:DjiboutiPMs,Stub,Djibouti,548181438,1
Template:Nigeria-diplomat-stub,Stub,Nigeria,548342756,195.9
Template:Haiti-diplomat-stub,Stub,Haiti,548684337,10.8
Template:Venezuela-diplomat-stub,Stub,Venezuela,548766254,31.8
Finn Sjue,Stub,Norway,549300521,5.3
Template:Tanzania-diplomat-stub,Stub,Tanzania,549366748,59.1
Template:Vietnam-politician-stub,Stub,Vietnam,550432744,94.7
Russell family (American political family),Stub,United States,550953646,328
Template:Bolivia-activist-stub,Stub,Bolivia,551889841,11.3
Template:Colombia-diplomat-stub,Stub,Colombia,552027405,49.8
Template:Ukraine-politician-stub,Stub,Ukraine,556222971,42.3
Template:Italy-activist-stub,Stub,Italy,559149314,60.6
Maximo Suniel,Stub,Philippines,559553872,107
Mihály Mikes (soldier),Stub,Hungary,559788982,9.8
Template:Romania-politician-stub,Stub,Romania,560171855,19.5
Template:Italy-politician-stub,Stub,Italy,560300020,60.6
Template:India-politician-stub,Stub,India,560300100,"1,371.3"
Template:Mexico-politician-stub,Stub,Mexico,560421629,130.8
Template:Netherlands-politician-stub,Stub,Netherlands,560422911,17.2
Template:Poland-politician-stub,Stub,Poland,560564875,38.4
The Man with the Chocolate Robe,Stub,Iran,560758943,81.6
Template:Russia-politician-stub,Stub,Russia,560768421,147.3
Template:Egypt-politician-stub,Stub,Egypt,561071682,97
Template:Portugal-politician-stub,Stub,Portugal,561074684,10.3
Template:Libya-politician-stub,Stub,Libya,561074815,6.5
Template:Canada-politician-stub,Stub,Canada,561075472,37.2
Template:Hungary-politician-stub,Stub,Hungary,561076576,9.8
List of Malta Labour Party leaders,Stub,Malta,561744402,0.5
Template:Mexico-activist-stub,Stub,Mexico,563278006,130.8
Template:Nigeria-activist-stub,Stub,Nigeria,563278068,195.9
Template:Paraguay-politician-stub,Stub,Paraguay,563745261,6.9
Template:Paraguay-diplomat-stub,Stub,Paraguay,563745346,6.9
Template:Paraguay-activist-stub,Stub,Paraguay,563745360,6.9
Template:Denmark-activist-stub,Stub,Denmark,564225242,5.8
Template:Netherlands-activist-stub,Stub,Netherlands,564225270,17.2
Template:Bolivia-diplomat-stub,Stub,Bolivia,564315998,11.3
Template:Peru-diplomat-stub,Stub,Peru,564317418,32.2
Template:Ecuador-diplomat-stub,Stub,Ecuador,564317537,17
Template:Argentina-diplomat-stub,Stub,Argentina,564317569,44.5
Template:Chile-diplomat-stub,Stub,Chile,564317591,18.6
Template:Argentina-activist-stub,Stub,Argentina,564438801,44.5
Marquis of Amboage,Stub,Spain,564873005,46.7
Salmama II of Kanem,Stub,Chad,565745353,15.4
Kuri I of Kanem,Stub,Chad,565745365,15.4
Mohammed I of Kanem,Stub,Chad,565745375,15.4
Template:DjiboutiPresidents,Stub,Djibouti,566428829,1
Template:Taiwan-politician-stub,Stub,Taiwan,567181489,23.6
Template:Philippines-politician-stub,Stub,Philippines,567204972,107
Template:Nicaragua-politician-stub,Stub,Nicaragua,567212908,6.3
Template:Ireland-diplomat-stub,Stub,Ireland,567620803,4.9
Template:Algeria-diplomat-stub,Stub,Algeria,567620838,42.7
"List of members of the parliament of Malta, 2008–13",B,Malta,573710096,0.5
Samuel Nii Ayi Mankattah,Stub,Ghana,576988466,29.5
Template:Ukraine-activist-stub,Stub,Ukraine,577828365,42.3
Template:Germany-DKP-politician-stub,Stub,Germany,581109695,82.8
Template:Germany-USPD-politician-stub,Stub,Germany,581109760,82.8
Template:Germany-LDPD-politician-stub,Stub,Germany,581109965,82.8
Template:Germany-DNVP-politician-stub,Stub,Germany,581110015,82.8
Template:Germany-politician-stub,Stub,Germany,581110109,82.8
Template:Germany-activist-stub,Stub,Germany,581110137,82.8
Template:Ecuador-activist-stub,Stub,Ecuador,583459402,17
Template:PNGPMs,Stub,Papua New Guinea,585140171,8.5
Template:Germany-NPD-politician-stub,Stub,Germany,585354886,82.8
Template:CostaRica-diplomat-stub,Stub,Costa Rica,585817999,5
Hemed Khamis,Stub,Tanzania,585894477,59.1
Template:Switzerland-activist-stub,Stub,Switzerland,591438058,8.5
Template:Venezuela-activist-stub,Stub,Venezuela,592089814,31.8
Template:Laos-diplomat-stub,Stub,Laos,594545324,7
Template:Indonesia-diplomat-stub,Stub,Indonesia,594545381,265.2
Template:Japan-diplomat-stub,Stub,Japan,594545594,126.5
Council of Ministers of Togo,Start,Togo,595693452,8
Abdullah Al Nuaimi (politician),Start,United Arab Emirates,598819900,9.5
Zhang Zhenzhou,Stub,China,601122766,"1,393.8"
Feng Liao,Start,China,601127343,"1,393.8"
Template:Peru-activist-stub,Stub,Peru,601137346,32.2
Template:President of Ethiopia,Stub,Ethiopia,602470386,107.5
Template:Ukraine-MP-stub,Stub,Ukraine,603583697,42.3
Template:Croatia-diplomat-stub,Stub,Croatia,605879488,4.1
Template:Prime Minister of Tuvalu,Stub,Tuvalu,607934598,0.01
Template:Pakistan-politician-stub,Stub,Pakistan,610315750,200.6
Template:Presidents of Somaliland,Stub,Somalia,612095066,15.2
Template:Prime Minister of Antigua and Barbuda,Stub,Antigua and Barbuda,612801561,0.1
Wu Shihuo,Start,China,614786300,"1,393.8"
Template:Uruguay-mayor-stub,Stub,Uruguay,615286075,3.5
Template:Uruguay-activist-stub,Stub,Uruguay,615286422,3.5
Template:Galicia-politician-stub,Stub,Spain,615616012,46.7
Template:Taiwan-diplomat-stub,Stub,Taiwan,615935504,23.6
Template:SenegalPMs,Stub,Senegal,616604396,16.3
Template:Iran-diplomat-stub,Stub,Iran,617753792,81.6
Template:Iraq-diplomat-stub,Stub,Iraq,617753923,40.2
Template:Presidents of Puntland,Stub,Somalia,618829831,15.2
Template:Estonia-mayor-stub,Stub,Estonia,619542964,1.3
Template:Presidents of the National Assembly of Cambodia,Stub,Cambodia,620367767,16
Template:Brazil-activist-stub,Stub,Brazil,621495219,209.4
Template:Chile-activist-stub,Stub,Chile,621495266,18.6
Kennedy Kiliku,Stub,Kenya,623004627,51
Kamu de Almeida,Stub,Angola,623334577,30.4
Hiša Marije Pomočnice,Stub,Slovenia,624468970,2.1
Đuro Šurmin,Start,Croatia,625509885,4.1
Suishō,Stub,Japan,626606789,126.5
Nikolai Sulima,Stub,Russia,627001041,147.3
Khayelihle Mathaba,Stub,South Africa,627051151,57.7
Vilho Turunen,Stub,Finland,627432937,5.5
Daud Arsala,Stub,Afghanistan,627547024,36.5
Vihtori Aromaa,Stub,Finland,628261896,5.5
Jonathan Wartiovaara,Stub,Finland,628268705,5.5
Arvi Turkka,Stub,Finland,628270736,5.5
Juho Heikkinen,Stub,Finland,628312759,5.5
Emanuel Aromaa,Stub,Finland,628379479,5.5
Jukka Lankila,Stub,Finland,628563978,5.5
Jalmari Malmi,Stub,Finland,628619000,5.5
Viljo Pousi,Stub,Finland,628766656,5.5
Jooseppi Kauranen,Stub,Finland,628988952,5.5
Sardar Aurang Zeb Khan,Stub,Pakistan,629562076,200.6
Jeremiah Kasambala,Stub,Tanzania,629818376,59.1
Sofia Hjulgrén,Stub,Finland,630396351,5.5
Vihtori Viitanen,Stub,Finland,630396786,5.5
Tirso Neri,Stub,Philippines,630704768,107
Template:WPKHeads,Stub,"Korea, North",631002637,25.6
Cleisthenes (son of Sibyrtius),Stub,Greece,631437331,10.6
Demonax (lawmaker),Start,Greece,631581752,10.6
List of 2009 Canadian incumbents,Start,Canada,632008524,37.2
"Zero, None Of The Above",Stub,United Kingdom,632261377,66.4
Johan Franzén (politician),Stub,Finland,632447328,5.5
Template:AddisAbabaMayors,Stub,Ethiopia,632582059,107.5
Template:Foreign Ministers of Botswana,Stub,Botswana,633883875,2.2
Liu Hongchang,B,China,634032715,"1,393.8"
Template:QatarEmirs,Stub,Qatar,635021360,2.7
Template:Rwandan presidents,Start,Rwanda,635175072,12.6
Custos Rotulorum of County Wicklow,Stub,Ireland,635240253,4.9
Custos Rotulorum of County Cork,Stub,Ireland,635814126,4.9
Book:Two Political Biographies,Stub,India,636911471,"1,371.3"
Template:NauruPres,Stub,Nauru,637674341,0.01
Hegesippus (orator),Stub,Greece,637801253,10.6
Template:SudanPresidents,Start,Sudan,638039494,41.7
Pheroze Sethna,Stub,India,638214719,"1,371.3"
Ibrahim Kassas,Stub,Tunisia,638362866,11.6
Dilip Sarkar,Stub,India,638377138,"1,371.3"
Gatluak Deng Garang,Stub,South Sudan,638571205,13
List of members of the National Assembly of Botswana 2009–14,Start,Botswana,638599355,2.2
Aliyu Ibrahim Gebi,Stub,Nigeria,639021339,195.9
Wang Jichang,Start,China,639061161,"1,393.8"
Waldemir Moka,Stub,Brazil,639471171,209.4
Custos Rotulorum of County Waterford,Stub,Ireland,640014648,4.9
Lee Ja-kyum,Stub,"Korea, South",640214913,51.8
Wei Huan-zi,Stub,China,640826254,"1,393.8"
O'Higgins Pioche,Stub,Chile,641422326,18.6
Template:Serbia-politician-stub,Stub,Serbia,641619789,7
Template:Austria-activist-stub,Stub,Austria,642383400,8.8
Template:MozambiquePresidents,Stub,Mozambique,642597959,30.5
"List of Captains Regent of San Marino, 1500–1700",Start,San Marino,643410335,0.03
Template:Saudi Kings,Stub,Saudi Arabia,643741011,33.4
Eiler Grubbe,Stub,Denmark,643746000,5.8
Olli Zitting,Stub,Finland,644024203,5.5
Pierre Philibert de Blancheton,Start,France,644041882,65.1
Luiza Xhuvani,Stub,Albania,644399375,2.9
Diego de Villalba y Toledo,Start,Spain,645225697,46.7
Jabulani Dube,Stub,Zimbabwe,645408814,14
Template:Vietnam-activist-stub,Stub,Vietnam,645944000,94.7
Template:Indonesia-activist-stub,Stub,Indonesia,645944060,265.2
Template:YemenPresidents,Stub,Yemen,646131340,28.9
Ministry of Economy and Finance (Benin),Stub,Benin,647450883,11.5
Gheorghe Barbu,Stub,Romania,647483021,19.5
Template:Yemen-diplomat-stub,Stub,Yemen,647572730,28.9
Template:Gabon-diplomat-stub,Stub,Gabon,647573541,2.1
Pan Yunduan,Stub,China,647832959,"1,393.8"
Otto Elfving,Stub,Finland,647893858,5.5
Template:Lebanon-diplomat-stub,Stub,Lebanon,647908204,6.1
List of Sri Lankan politicians,Stub,Sri Lanka,648048611,21.7
Fathema Ismail,Stub,India,648271473,"1,371.3"
Template:Prime Ministers of Republika Srpska,Stub,Bosnia-Herzegovina,648935308,3.5
Template:Estonia-politician-stub,Stub,Estonia,649098580,1.3
Rafael Simancas,Stub,Spain,650458255,46.7
Adela Serra-Ty,Stub,Philippines,650462344,107
Template:Syria-politician-stub,Stub,Syria,650493614,18.3
Template:Syria-diplomat-stub,Stub,Syria,650493642,18.3
Muhammad al-Ghafri,Stub,Syria,650494773,18.3
Template:Prime Ministers of the Federation of Bosnia and Herzegovina,Stub,Bosnia-Herzegovina,651745952,3.5
Eneida de León,Stub,Uruguay,651785828,3.5
Read family of Delaware,Start,United States,651856758,328
Template:Anguilla-politician-stub,Stub,United Kingdom,652811277,66.4
Rossy Barbour,Stub,Canada,653527941,37.2
Reginald Nii Bi Ayibonte,Stub,Ghana,653895210,29.5
Franz Schimmelpfennig von der Ove,Stub,Poland,654012510,38.4
Ville Korhonen (politician),Stub,Finland,655031906,5.5
Onni Hallsten,Stub,Finland,655032578,5.5
Yosia Nadiope of Busoga,Stub,Uganda,655390291,44.1
María del Socorro Bustamante,Stub,Colombia,655980284,49.8
Enrique Pintado,Stub,Uruguay,656352211,3.5
Instructions of the Year XIII,Stub,Uruguay,656386131,3.5
Governor of Gagauzia,Stub,Moldova,656737492,3.5
Neferkheperu-her-sekheper,Start,Egypt,657176628,97
Abeifaa Karbo,Stub,Ghana,658939122,29.5
Auguste Louis Antoine Fabre,Stub,France,659315526,65.1
Maksud Ibragimov,Start,Tajikistan,660214915,9.1
Template:Governors-General of Mauritius,Stub,Mauritius,660242064,1.3
Miguel R. Morales,Stub,Nicaragua,660579437,6.3
Aljoša Čampara,Start,Bosnia-Herzegovina,660884852,3.5
Template:Presidents of the Federation of Bosnia and Herzegovina,Stub,Bosnia-Herzegovina,662458594,3.5
Walter Simon (philanthropist),Start,Germany,662681733,82.8
Abu Sayyaf (Jordan),Start,Jordan,662927043,10.2
Torsten Nielsen,Stub,Denmark,663166199,5.8
Mufti Abdullah,Stub,Pakistan,663572469,200.6
William Matthew Harries,Stub,South Africa,663617582,57.7
Maanu Paul,Stub,New Zealand,663783398,4.9
County governor (Lithuania),Stub,Lithuania,663880497,2.8
Burhan Muhammad,Stub,Indonesia,664532059,265.2
Martim Afonso de Brito,Stub,Portugal,664669156,10.3
Gonghe Regency,Stub,China,664787336,"1,393.8"
Irshadali Sumra,Stub,Kenya,664793790,51
Koufu,Stub,China,664814622,"1,393.8"
Political families of Odisha,Stub,India,664822251,"1,371.3"
Template:AlgerianPres,Stub,Algeria,665948270,42.7
Firmin Aerts,Stub,Belgium,666029819,11.4
Philip Johannes Andries Watermeyer,Start,South Africa,666610075,57.7
Ioan Rus,Start,Romania,666752677,19.5
Template:US-politician-stub,Stub,United States,666834672,328
Template:NativeAmerican-politician-stub,Stub,United States,666855555,328
Template:Brazil-diplomat-stub,Stub,Brazil,666992156,209.4
Template:Brazil-mayor-stub,Stub,Brazil,666993286,209.4
Template:Brazil-politician-stub,Stub,Brazil,666993638,209.4
Pieter Adrianus Ossewaarde,Stub,Netherlands,667194771,17.2
Christoffel van Swoll,Start,Netherlands,667198201,17.2
National Foundation for Women Legislators,Start,United States,667815878,328
Les Scheininger,C,Canada,667821864,37.2
Patrick Canning,Start,Canada,667873261,37.2
Kalina Krumova,Start,Bulgaria,667906849,7
Pierre Chatenet,Stub,France,668091068,65.1
Henry Soum,Stub,Monaco,668095014,0.04
Brij Bhushan Mehra,Stub,India,668258382,"1,371.3"
Aurelian Pavelescu,Stub,Romania,668449610,19.5
Template:France-politician-FN-stub,Stub,France,668646568,65.1
Template:France-politician-MNR-stub,Stub,France,668646640,65.1
Template:France-politician-MPF-stub,Stub,France,668646674,65.1
Template:France-politician-ModernLeft-stub,Stub,France,668646702,65.1
Template:France-politician-PCF-stub,Stub,France,668646730,65.1
Madut Kon Awan,Stub,South Sudan,668830946,13
Template:BosniaHerzegovina-politician-stub,Stub,Bosnia-Herzegovina,668917051,3.5
Template:Spain-politician-stub,Stub,Spain,668917865,46.7
Template:Sweden-politician-stub,Stub,Sweden,668917996,10.2
Template:Switzerland-politician-stub,Stub,Switzerland,668918051,8.5
Template:Turkey-politician-stub,Stub,Turkey,668918090,81.3
Template:Finland-politician-stub,Stub,Finland,668918491,5.5
Template:Bulgaria-politician-stub,Stub,Bulgaria,668918594,7
Template:Belgium-politician-stub,Stub,Belgium,668918611,11.4
Template:Azerbaijan-politician-stub,Stub,Azerbaijan,668918637,9.9
Template:UK-politician-stub,Stub,United Kingdom,668918804,66.4
Template:Croatia-politician-stub,Stub,Croatia,668936881,4.1
Template:Iceland-politician-stub,Stub,Iceland,668936989,0.4
